interval_id,timing_scope,strict_eligible,model,effort,calls,sessions,uncached,cached,output,reasoning,standard_usd,standard_eur,write_upper_eur,september6_reference_usd,unpriced_calls,uncertain_price_calls,long_context_calls,unknown_tier_calls,different_reset_calls,missing_reset_calls
123,interior,1,gpt-5.6-sol,max,1254,19,5361630,170142720,742031,217407,134.14044,115.9682199360249,121.76232169101755,104.344228,0,0,0,1254,3,0
123,nominal,1,gpt-5.6-sol,max,1377,19,5800250,187239168,801353,236119,146.661424,126.79296619693956,133.0610672603095,114.1237272,0,0,0,1377,3,0
124,enclosing,1,gpt-5.6-sol,max,1250,16,7044386,170876928,572977,164413,137.849704,119.1749840062246,126.78757370104607,107.9878552,0,0,0,1250,0,0
124,interior,1,gpt-5.6-sol,max,1040,16,5672164,142229504,462464,130405,113.349492,97.99385493213451,104.1235385147402,88.8297376,0,0,0,1040,0,0
124,nominal,1,gpt-5.6-sol,max,1139,16,6293267,155724288,511886,147434,124.685059,107.79377453099333,114.59465959194259,97.7005032,0,0,0,1139,0,0
126,enclosing,1,gpt-5.6-sol,max,1295,15,6514084,166566912,521953,151828,131.512466,113.69626177919945,120.73577504971037,103.1221608,0,0,0,1295,0,0
126,interior,1,gpt-5.6-sol,max,1117,15,5493102,143356672,471439,138176,113.287016,97.93984265583124,103.87602100804011,88.7438568,0,0,0,1117,0,0
126,nominal,1,gpt-5.6-sol,max,1212,15,5799115,155717632,497640,146676,121.783591,105.28537304400449,111.55224755770726,95.43631280000001,0,0,0,1212,0,0
127,enclosing,1,gpt-5.6-sol,max,1030,16,4962220,146188800,458161,129472,111.65033,96.52488112734503,101.88735627215354,87.48762,0,0,0,1030,0,0
127,interior,1,gpt-5.6-sol,max,892,16,4411637,123963008,417834,115400,96.574709,83.49157862885795,88.25906047376156,75.5884312,0,0,0,892,0,0
127,nominal,1,gpt-5.6-sol,max,949,16,4678005,133023616,436012,122640,102.982193,89.0310305178525,94.08636573873952,80.6417064,0,0,0,949,0,0
128,enclosing,1,gpt-5.6-sol,max,917,13,5517098,130953728,432269,128640,106.030424,91.66631278637503,97.62842266793463,83.0952632,0,0,0,917,0,0
128,interior,1,gpt-5.6-sol,max,825,13,4800095,117840384,401317,119514,94.960177,82.09576986253998,87.28304292383504,74.3628736,0,0,0,825,0,0
128,nominal,1,gpt-5.6-sol,max,869,13,4985666,124369408,417842,124833,99.648294,86.14878015042794,91.53659246131235,78.04726720000001,0,0,0,869,0,0
129,enclosing,1,gpt-5.6-sol,max,660,11,3285891,94357248,311142,91621,72.942339,63.06072361027059,66.61165622028183,57.1093032,0,0,0,660,0,0
129,interior,1,gpt-5.6-sol,max,580,11,2956368,82958080,272190,78052,64.42658,55.698608109276385,58.893438229445835,50.452504000000005,0,0,0,580,0,0
129,nominal,1,gpt-5.6-sol,max,616,11,3206679,88318720,291583,85212,68.940245,59.600799688769776,63.06613101927898,53.985864,0,0,0,616,0,0
130,enclosing,1,gpt-5.6-sol,max,759,13,4472429,106712832,341313,94276,85.957951,74.31308982450074,79.14626718250194,67.4011088,0,0,0,759,0,0
130,interior,1,gpt-5.6-sol,max,664,12,3830071,95302656,296787,78068,75.705293,65.44937581049537,69.58838225123195,59.3770864,0,0,0,664,0,0
