cohort,row,dated,fixed,low,high,hours,accounts
Sol/max before 21 Aug,1,22.52096315658363,17.59433468683274,18.15551923529412,28.27095389121339,42,6
Sol/max 21-31 Aug,2,19.136847474620176,19.136847474620176,15.689199606541438,23.64295267121255,102,6
Sol/max 1-6 Sep,3,17.649089630758123,17.649089630758123,14.595266881794872,21.54360725123967,35,7
Astra/high 5-6 Sep,4,9.344366974159293,9.344366974159293,8.338835314767932,10.483482084837208,11,3
