account,segment,strict_eligible,model,effort,calls,sessions,uncached,cached,output,reasoning,standard_usd,standard_eur,write_upper_eur,september6_reference_usd,unpriced_calls,different_reset_calls,missing_reset_calls
A01,18,1,gpt-5.6-terra,high,129,2,540210,12356992,59512,17588,4.2659624,3.67059232490105,3.903000688349682,4.2659624,0,0,0
A01,18,1,gpt-6-astra,high,4219,27,14832750,549365888,1948476,474304,795.117188,684.1483290311479,716.0549500946481,795.117188,0,0,0
A01,18,1,gpt-6-astra,low,60,1,520097,12804992,6927,83,18.352312,15.791010153157805,16.909787041817243,18.352312,0,0,0
A01,18,1,gpt-6-astra,max,1160,11,4651687,133123456,466992,211677,202.989926,174.66006367234556,184.66627387712958,202.989926,0,0,0
A01,18,1,gpt-6-astra,medium,565,7,2743241,74301952,224134,42938,112.941062,97.17868008948547,103.07964593013251,112.941062,0,0,0
A01,18,1,gpt-6-astra,ultra,686,2,2932122,78463872,438896,177147,129.729892,111.62441232145932,117.93167871278611,129.729892,0,0,0
A02,1,1,gpt-5.5,low,338,10,2248528,29993728,131790,14455,30.193204,26.374217330538084,26.374217330538084,30.193204,0,0,0
A02,1,1,gpt-5.5,medium,8,1,308416,1388544,1556,17,2.283032,1.994262753319357,1.994262753319357,2.283032,0,0,0
A02,2,1,gpt-5.6-sol,ultra,30,1,46570,4413952,13234,4023,2.836846,2.4819300087489062,2.5328595800524933,2.2165408,0,0,0
A02,3,1,gpt-5.5,medium,21,1,195898,2977664,6460,701,2.662122,2.3290656167979003,2.3290656167979003,2.662122,0,0,0
A02,3,1,gpt-5.6-sol,max,995,16,4224505,113515520,603251,228159,95.977815,83.97009186351706,88.5900667104112,74.369248,0,0,0
A02,3,1,gpt-5.6-sol,ultra,293,2,1160745,39055104,97544,48943,31.551044,27.603713035870516,28.953369641294838,24.844607200000002,0,0,0
A02,8,1,gpt-5.6-sol,max,7562,27,36739707,1001340160,3538199,1180670,790.514585,684.1320510601471,723.8764333621809,618.258872,0,0,0
A02,9,0,gpt-5.6-sol,max,425,2,1536817,49394176,140133,39261,36.585163,31.702914211438475,33.36757733968805,28.707598400000002,0,0,0
A02,9,1,gpt-5.6-sol,max,24430,100,111477019,3165917440,12275690,3856286,2508.614515,2173.842733968804,2294.5934044627384,1957.7888520000001,0,0,0
A02,9,1,gpt-5.6-sol,ultra,156,1,539226,17804544,83796,19047,14.112282,12.229013864818025,12.813097487001734,10.9546416,0,0,0
A02,10,0,gpt-5.6-sol,max,187,1,632326,25643264,64323,13557,17.912952,15.530563551239814,16.215848361366394,14.0730696,0,0,0
A02,10,1,gpt-5.6-sol,max,11639,34,62135721,1594953600,6166266,1623504,1293.143385,1120.5156633919353,1187.8181049695618,1009.849644,0,0,0
A02,11,1,gpt-5.6-sol,max,22404,35,119948760,3087775744,11509448,3072384,2488.915112,2157.894149471129,2287.888904109589,1945.0942976000001,0,0,0
A02,11,1,gpt-5.6-sol,ultra,58,1,221491,8643072,33733,8502,6.440981,5.584342812554188,5.824384211895266,5.0178528,0,0,0
A02,12,0,gpt-5.6-sol,max,656,2,2364065,82514176,226000,62851,49.8099864,42.59368848278831,44.67115011402462,46.9819304,0,0,0
A02,12,1,gpt-5.5,medium,128,1,913043,20584448,34774,4062,15.900659,13.591468501581332,13.591468501581332,15.900659,0,0,0
A02,12,1,gpt-5.6-sol,max,23908,46,84580258,3226705408,9817573,2985730,1901.3065198000002,1625.6506387470429,1700.3775342595816,1825.3546552,0,0,0
A02,13,0,gpt-5.6-sol,max,7345,12,25576094,979680512,3227197,1051920,558.7205208,479.05715021199546,500.98664463189743,558.7205208,0,0,0
A02,13,1,gpt-5.6-sol,max,20142,35,59843005,2619122176,7521813,2596559,1437.4571504,1232.5198651252388,1283.8314590729296,1437.4571504,0,0,0
A02,13,1,gpt-5.6-sol,ultra,196,1,697319,21822720,109298,20894,13.704324,11.751263934145088,12.349205110615676,13.704324,0,0,0
A02,14,0,gpt-5.6-sol,max,6635,10,19703377,855143296,3424171,1103758,489.3542464,419.54572549979804,436.43814036359254,489.3542464,0,0,0
A02,14,1,gpt-5.5,medium,2,1,34072,38656,42,0,0.190948,0.16373520836906194,0.16373520836906194,0.190948,0,0,0
A02,14,1,gpt-5.6-sol,max,21191,55,55292260,2583784576,7996953,2920106,1414.6219304,1212.888579314355,1260.296433440323,1414.6219304,0,0,0
A02,15,1,gpt-5.5,medium,5,1,175387,708480,311,0,1.240505,1.0654513441552864,1.0654513441552864,1.240505,0,0,0
A02,15,1,gpt-5.6-sol,max,13940,18,49787673,1780798208,5939254,1788075,1030.2550552,884.8707851928199,927.6326790346131,1030.2550552,0,0,0
A02,16,0,gpt-5.6-sol,max,329,1,1076581,41715456,129171,33670,23.5759264,20.249013484497127,21.173672936528387,23.5759264,0,0,0
A02,16,1,gpt-5.5,medium,26,1,477917,4643584,4377,581,4.842687,4.159312032981191,4.159312032981191,4.842687,0,0,0
A02,16,1,gpt-5.6-sol,max,26108,56,90887894,3399640960,11098324,3606831,1945.37444,1670.8532508803576,1748.9155149016578,1945.37444,0,0,0
A02,16,1,gpt-5.6-terra,high,263,4,1006180,31108864,65821,18242,9.023984800000001,7.750566692433223,8.182663231126,9.023984800000001,0,0,0
A02,18,0,gpt-5.6-sol,max,201,1,435161,25138304,74966,34274,13.2952856,11.44665139905295,11.821305725355145,13.2952856,0,0,0
A02,18,1,gpt-5.6-sol,max,21596,24,56364678,2780637824,8902101,3547567,1515.7558616000001,1306.4394669788257,1355.0260618947257,1515.7558616000001,0,0,0
A02,19,0,gpt-6-astra,high,210,4,1120716,26475136,77286,25674,41.546596,35.7482326621924,38.15899673033901,41.546596,0,0,0
A02,19,1,gpt-5.6-luna,max,19,1,192071,2687488,19332,7108,0.11536236000000001,0.0992620547237997,0.10752530545517124,0.11536236000000001,0,0,0
A02,19,1,gpt-6-astra,high,5982,20,18749565,784644352,1415451,339573,1042.912552,897.3606539321976,937.6927073653417,1042.912552,0,0,0
A02,19,1,gpt-6-astra,low,113,1,363151,21174144,12169,115,25.414104,21.86723799690243,22.648409482016866,25.414104,0,0,0
A02,19,1,gpt-6-astra,max,133,2,865111,16347520,96958,34445,29.84653,25.68106177938393,27.5419957838582,29.84653,0,0,0
A02,20,0,gpt-6-astra,high,103,1,444962,12439936,38800,4216,18.829556,16.201648597487527,17.158803131991053,18.829556,0,0,0
A02,20,1,gpt-5.6-luna,max,64,2,779823,9373440,52317,18104,0.4062138,0.349521424883841,0.3830708569953537,0.4062138,0,0,0
A02,20,1,gpt-5.6-terra,high,164,2,653532,26139136,40821,11722,7.0247432000000005,6.0443496816382725,6.325511271726038,7.0247432000000005,0,0,0
A02,20,1,gpt-6-astra,high,4045,18,13840845,550144384,1370560,265911,757.080834,651.420438822922,681.1933802271554,757.080834,0,0,0
A03,7,0,gpt-5.6-sol,max,405,2,1659341,52912384,155848,43183,39.428337,34.19286201108488,35.99208698968411,30.9192776,0,0,0
A03,7,1,gpt-5.5,medium,267,1,2654139,40843392,83632,9751,36.201351,31.422046792265274,31.422046792265274,36.201351,0,0,0
A03,7,1,gpt-5.6-sol,max,23375,37,90781345,3151645440,10515575,3108832,2345.196695,2030.3900466062125,2128.638959972335,1834.095056,0,0,0
A03,10,1,gpt-5.5,medium,20,1,82350,4132352,5108,523,2.631166,2.28003986135182,2.28003986135182,2.631166,0,0,0
A03,12,1,gpt-5.5,medium,461,1,3975136,66620288,126280,22558,56.974224,49.2363594236752,49.2363594236752,56.974224,0,0,0
A03,12,1,gpt-5.6-sol,max,1989,16,9370350,257791104,955253,285928,204.404892,176.71383418345292,186.8400012967926,159.7029016,0,0,0
A03,13,0,gpt-5.5,medium,6,1,190520,1032448,1438,72,1.511964,1.2923873835370545,1.2923873835370545,1.511964,0,0,0
A03,13,1,gpt-5.5,medium,164,1,1082619,24897024,38185,4913,19.007157,16.2506716062759,16.2506716062759,19.007157,0,0,0
A03,14,0,gpt-5.6-sol,max,708,3,2397482,102611456,305380,98895,56.7421104,48.65555685131196,50.711363745498204,56.7421104,0,0,0
A03,14,1,gpt-5.5,medium,1159,1,7822565,184537216,309556,36049,140.668113,120.60658013484641,120.60658013484641,140.668113,0,0,0
A03,14,1,gpt-5.6-sol,max,4958,16,16790142,627398912,2142519,710402,360.9705128,309.5271075287258,323.92441673812385,360.9705128,0,0,0
A03,15,0,gpt-5.6-sol,max,4011,11,16927938,536139648,2043946,695183,323.0465312,277.0078298748071,291.52329720459613,323.0465312,0,0,0
A03,15,0,gpt-5.6-sol,ultra,87,1,368938,11511040,42135,14429,6.922868,5.936261361687533,6.252620476762134,6.922868,0,0,0
A03,15,1,gpt-5.5,medium,203,1,1080997,32932992,48147,5868,23.315891,19.993046647230322,19.993046647230322,23.315891,0,0,0
A03,15,1,gpt-5.6-luna,high,72,1,518309,9908736,22787,12658,0.32918092,0.2822679814783056,0.3044901131881324,0.32918092,0,0,0
